Data Used, Training Error, Test Error
10,0.0%,32.37704918032787%
20,0.0%,31.967213114754102%
30,0.0%,30.737704918032787%
40,0.0%,26.639344262295083%
50,0.0%,22.131147540983605%
60,0.0%,23.36065573770492%
70,0.0%,23.36065573770492%
80,0.0%,21.721311475409834%
90,0.0%,20.901639344262296%
100,0.0%,15.983606557377051%
