Data Used, Training Error, Test Error
10,1.25%,29.918032786885245%
20,0.625%,30.737704918032787%
30,0.4166666666666667%,27.86885245901639%
40,0.3125%,24.18032786885246%
50,0.5%,23.770491803278688%
60,0.4166666666666667%,20.081967213114755%
70,0.35714285714285715%,20.901639344262296%
80,0.15625%,17.62295081967213%
90,0.2777777777777778%,15.573770491803279%
100,0.625%,13.114754098360656%
