Data Used, Training Error, Test Error
10,12.5%,34.83606557377049%
20,14.374999999999998%,30.327868852459016%
30,9.583333333333334%,31.967213114754102%
40,10.3125%,30.737704918032787%
50,11.25%,28.688524590163933%
60,8.541666666666666%,29.508196721311474%
70,9.285714285714286%,27.459016393442624%
80,8.59375%,30.327868852459016%
90,7.361111111111112%,24.18032786885246%
100,7.000000000000001%,25.0%
